ISSN,"Abbreviated Journal Title",Rank,Field,Status
1573-1472,Boundary-Layer Meteorology (Dordrecht. Online),A1,ENGENHARIAS I,Atualizado
0889-1591,"Brain, Behavior, and Immunity",A1,INTERDISCIPLINAR,Atualizado
0167-6806,Breast Cancer Research and Treatment,A1,INTERDISCIPLINAR,Atualizado
0007-0955,British Journal of Criminology,A1,ENGENHARIAS III,Atualizado
1464-3529,British Journal of Criminology (Online),A1,ENGENHARIAS III,Atualizado
0007-1145,British Journal of Nutrition,A1,INTERDISCIPLINAR,Atualizado
0007-1188,British Journal of Pharmacology,A1,INTERDISCIPLINAR,Atualizado
1472-1465,British Journal of Psychiatry (Online),A1,INTERDISCIPLINAR,Atualizado
0007-1250,British Journal of Psychiatry (Print),A1,INTERDISCIPLINAR,Atualizado
0306-3674,British Journal of Sports Medicine,A1,INTERDISCIPLINAR,Atualizado
0007-1323,British Journal of Surgery (Print),A1,INTERDISCIPLINAR,Atualizado
0360-1323,Building and Environment,A1,ENGENHARIAS III,Atualizado
0360-1323,Building and Environment,A1,ENGENHARIAS I,Atualizado
0360-1323,Building and Environment,A1,INTERDISCIPLINAR,Atualizado
0961-3218,Building Research and Information (Print),A1,ENGENHARIAS I,Atualizado
0261-3050,Bulletin of Latin American Research,A1,INTERDISCIPLINAR,Atualizado
0003-0007,Bulletin of the American Meteorological Society,A1,ENGENHARIAS III,Atualizado
0003-0007,Bulletin of the American Meteorological Society,A1,INTERDISCIPLINAR,Atualizado
0042-9686,Bulletin of the World Health Organization (Print),A1,INTERDISCIPLINAR,Atualizado
0102-5767,Cadernos de Estudos Linguísticos (UNICAMP),A1,INTERDISCIPLINAR,Atualizado
0102-311X,Cadernos de Saúde Pública (ENSP. Impresso),A1,INTERDISCIPLINAR,Atualizado
0104-8333,Cadernos Pagu (UNICAMP. Impresso),A1,INTERDISCIPLINAR,Atualizado
1141-7161,Cahiers des Amériques Latines (Paris),A1,INTERDISCIPLINAR,Atualizado
0944-2669,Calculus of Variations and Partial Differential Equations,A1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
